Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kyrgyzstan,,,,,,,,,,,,,,,,,4457,4534,4543,4540,4590,4657,4724.9,4797,4854.06,4883.706,4902.123,4919.46,4943.77,4976.881,5006.514,5033.953,5268.385,5318.729,5383.277,5447.96,5514.754,5607.511,5719.852,5835.816,5957.271,6079.84,6306.696,6444.078,6590.211,6726.596,6851.224,6975.218,7099.75
Tajikistan,,,,,,,,,,,,,,,,,5464,5571,5638,5745,5836,5919,5919,5938.609,6064.048,6188.366,6312.756,6441.009,6573.224,6710.161,6850.324,6992.066,7139.772,7294.747,7334.083,7519.28,7714.198,7897.313,8074.266,8256.572,8451.6,8640.7,8837.002,8931.2,9126.56,9313.767,9588.5,9982.207,10163.4
Turkmenistan,,,,,,,,,,,,,,,,,3753,4032,4308,4406,4509,4569,4569,4859,4859,4891.598,4973.962,5051.817,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5123.94,5662.544,5662.544,5662.544,5662.544,5662.544,5662.544,5662.544,5662.544
Uzbekistan,,,,,,,,,,,,,,,,,20862,21360,21852,22282,22690,23130,23560.4,24051,23953.922,24650.415,24964.433,25271.831,25567.663,25707.4,26021.3,26488.257,26867.998,27302.782,27767.408,28562.405,29339.368,29774.448,30243.172,30757.669,31298.929,31298.929,32388.563,32956.099,33580.4,34573.58025,35281.60775,35836.5345,36412.359
Armenia,,,,,,,,,,,,,,,,,3612,3686,3731,3308,3255,3247,3242.1,3235.151,3229.499,3221.106,3214.095,3211.593,3211.267,3214.03,3217.535,3221.094,3226.52,3234.031,3243.729,3256.066,3027.9,3024.1,3022,3013.8,3004.588,2992.5,2979.442,2969.001,2962.482,2961.473,2963.251,2961.4,2977.13
Azerbaijan,,,,,,,,,,,,,,,,,7271,7382,7495,7597,7685,7763,7838.3,7913,7982.8,8048.6,8152.8,8230.3,8309.2,8398.3,8500.3,8609.6,8723,8838.5,8947.3,9054.3,9173.1,9295.784,9416.8,9528.9,9649.341,9755.5,9854,9939.8,9931.2,10000.1,10044.7,10095.2,10154
Georgia,,,,,,,,,,,,,,,,,5464,5455,5440,4862,4734,4617,4531.7,4487.4,4452.5,4418.3,4385.8,4357.1,4328.9,4318.3,4361.4,4398,4388.4,4383.8,4410.9,4452.8,4483.4,4490.7,4487.15,3727,3717.1,3719.3,3728.0035,3726.5485,3720.161,3722.7155,3708.61,3712.502,3715.4825
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7411.569,7381.579,7350.222,7320.807,7291.436,7236.519,7201.497,7166.552,7131.787,7095.383,7058.322,7020.858,6982.604,6945.235,6899.126,6834.326,6797.105,6641.197
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.241,626.104,628.804,631.536,617.304,620.556,620.601,622.149,621.81,622.159,622.218,622.373,622.2705,622.182,621.873,620.739,617.683,616.695
Belarus,,,,,,,,,,,,,,,,,10271,10313,10356,10308,10281,10250,10117.433,10071.963,10035.21,10004.958,9970.688,9924.766,9873.826,9824.568,9663.915,9604.924,9560.953,9527.985,9506.765,9490.583,9473.172,9464.495,9465.997,9474.511,9489.616,9498.364,9458.989,9438.785,9419.758,9410.259,9302.6,9228.1,9178.3
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,4409,4434,4459,4180,3645,3737.865,3653.364,3724.672,3781.497,3797.937,3828.397,3832.301,3842.527,3842.537,3842.762,3842.562,3842.265,3842.566,3843.126,3841.224,3837.455,3833.278,3830.911,3825.334,3512.855,3509.728,3500.295,3492.018,3492.018,3492.018,3492.018,3492.018
Croatia,,,,,,,,,,,,,,,,,,4470,4641,4649,4669,4494,4572.474,4501.149,4553.769,4426.233,4439.635,4440.385,4440.29,4308.293,4310.145,4311.159,4310.217,4309.705,4305.181,4295.427,4280.622,4267.558,4255.689,4238.389,4203.604,4190.669,4124.531,4087.843,4065.253,4047.68,3878.981,3862.305,3850.894
Czechia,,,,,,,,,,,,,,,,,,,10331,10336,10331,10315,10303.642,10294.943,10282.784,10272.503,10224.192,10200.774,10201.651,10197.101,10211.216,10238.905,10298.828,10384.603,10443.936,10474.41,10496.088,10510.786,10510.719,10524.783,10542.942,10553.843,10589.526,10626.43,10669.324,10700.155,10701.777,10516.707,10827.529
Estonia,,,,,,,,,,,,,,,,,1566,1544,1517,1499,1437,1416,1399.535,1386.156,1375.654,1369.515,1364.101,1358.644,1353.557,1362.55,1354.775,1346.81,1340.68,1337.09,1334.515,1331.475,1327.439,1322.696,1317.997,1314.545,1314.608,1315.944,1317.384,1321.9765,1326.898,1329.2275,1329.479,1331.796,1365.884
Germany,,,,,,,,,,,,,,,,,79984,80570,81187,81422,81661,81896,82051.698,82028.947,82086.582,82187.614,82339.777,82482.309,82520.176,82501.274,82464.344,82365.81,82262.642,82119.776,81874.77,81757.471,80274.983,80425.823,80645.605,80982.5,81686.663,82175.684,82657.002,82905.782,83092.962,83160.871,83155.031,83237.124,84358.845
Latvia,,,,,,,,,,,,,,,,,2662,2614,2563,2521,2485,2457,2432.851,2410.019,2390.482,2372.985,2355.011,2338.624,2325.342,2263.122,2238.799,2218.357,2200.325,2177.322,2141.669,2097.555,2059.709,2034.319,2012.647,1993.782,1977.527,1968.957,1942.248,1927.1735,1913.822,1900.449,1893.223,1875.757,1883.008
Lithuania,,,,,,,,,,,,,,,,,3742,3700,3683,3657,3629,3602,3575.137,3549.331,3524.238,3499.536,3481.292,3469.07,3454.205,3377.075,3322.528,3269.909,3231.294,3198.231,3162.916,3097.282,3028.115,2987.773,2957.689,2932.367,2904.91,2888.558,2828.403,2801.543,2794.137,2794.885,2795.68,2805.998,2857.279
Moldova,,,,,,,,,,,,,,,,,4363,4348,4348,4348,4348,4327,3654.208,3652.741,3647.001,3639.592,3631.462,3623.062,3612.874,3603.94,3595.187,3585.209,3576.91,3570.108,3565.604,3562.045,3559.986,3559.52,3558.566,3557.328,3555.159,3553.1,2755.158,2708.214,2664.974,2635.13,2615.199,2604,2512.758
Russian Federation,,,,,,,,,,,,,,,,,148245,148310,148146,148408,148376,148160,147915.361,147670.784,147214.776,146596.869,145976.482,145306.497,144648.618,144067.316,143518.814,143049.637,142805.114,142742.366,142785.349,142849.468,142960.908,143201.73,143507,143507,143507,143507,146842.4,146880.432,146764.7,146459.8,146864.3,146713.7,146299.1
Serbia and Montenegro,,,,,,,,,,,,,,,,,,10448,10482,10516,10547,10577,10600,10617,10629,10634,10652,8114,8153,8147,8064.046,,,,,,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,,,,,,,,,5325,5347,5364,5374,5383.233,5390.866,5395.324,5400.679,5379.78,5378.809,5378.95,5372.28,5372.807,5373.054,5374.622,5379.233,5386.406,5391.428,5398.384,5407.579,5413.393,5418.649,5423.801,5431,5439.2315,5446.771,5454.147,5457.873,5459.781,5434.712,5428.792
Slovenia,,,,,,,,,,,,,,,,,,1996,1991,1989,1988,1991,1986.848,1982.603,1985.557,1990.272,1992.035,1995.718,1996.773,1997.004,2001.114,2008.516,2019.406,2022.629,2042.335,2049.261,2052.496,2056.262,2059.114,2061.623,2063.077,2064.188,2066.161,2070.05,2089.31,2100.126,2108.977,2107.18,2116.972
Macedonia,,,,,,,,,,,,,,,,,,2056,2056,2056,1963,1975,1996.869,2007.523,2017.142,2024,2034.882,2031.153,2026.773,2032.544,2036.855,2040.228,2043.559,2046.898,2050.671,2055.004,2058.539,2061.044,2064.032,2067.471,2070.225,2072.49,2074.502,2076.217,2077.132,2076.255,2068.808,1837.114,1829.954
Ukraine,,,,,,,,,,,,,,,,,51944,52057,52244,52114,51728,51058,50594.6,50370.8,49918.1,49429.8,48690.151,48230.283,47812.949,47451.626,47105.171,46787.785,46509.355,46258.189,46053.307,45870.741,45706.086,45593.342,45553.047,42988.026,42759.661,42590.879,42485.4725,42386.403,41983.564,41732.779,41418.717,40997.698,40997.698
